,Country,City,AccentCity,Region,Population,Latitude,Longitude
151131,au,arthur,Arthur,02,,-33.816666999999995,149.333333
151132,au,arthur river,Arthur River,08,,-33.333333,117.033333
151133,au,arthurs creek,Arthurs Creek,07,,-37.583333,145.2
151134,au,arthurs seat,Arthurs Seat,02,,-29.4,151.066667
151135,au,arthurton,Arthurton,05,,-34.266667,137.75
151136,au,arthurville,Arthurville,02,,-32.566666999999995,148.75
151137,au,arumvale,Arumvale,08,,-34.166667,115.083333
151138,au,arundel,Arundel,07,,-38.366667,142.816667
151139,au,arwakurra,Arwakurra,05,,-32.883333,138.416667
151140,au,ascot,Ascot,07,,-36.7,144.333333
151141,au,ascot vale,Ascot Vale,07,,-37.783333,144.916667
151142,au,ashbourne,Ashbourne,05,,-35.3,138.76666699999998
151143,au,ashbridge,Ashbridge,02,,-34.666667,146.966667
151144,au,ashburton,Ashburton,07,,-37.866667,145.083333
151145,au,ashby,Ashby,02,,-29.433333,153.183333
151146,au,ashens,Ashens,07,,-36.683333000000005,142.51666699999998
151147,au,ashfield,Ashfield,02,,-33.883333,151.116667
151148,au,ashford,Ashford,02,,-29.321911,151.09307900000002
151149,au,ashgrove,Ashgrove,04,,-27.45,153.033333
151150,au,ashley,Ashley,02,,-29.316667,149.816667
151151,au,ashton,Ashton,05,,-34.933333000000005,138.73333300000002
151152,au,ashville,Ashville,05,,-35.516667,139.366667
151153,au,aspendale,Aspendale,07,,-38.033333,145.1
151154,au,aspley,Aspley,04,,-27.366667,153.01666699999998
151155,au,aspley,Aspley,06,,-42.433333000000005,147.133333
151156,au,asquith,Asquith,02,,-33.683333000000005,151.1
151157,au,athenna,Athenna,05,,-32.016667,133.433333
151158,au,atherton,Atherton,04,6959.0,-17.268641,145.47522
151159,au,athlone,Athlone,07,,-38.233333,145.76666699999998
151160,au,athol,Athol,02,,-33.55,149.3
151161,au,athol glen,Athol Glen,02,,-30.033333,153.033333
151162,au,atholwood,Atholwood,02,,-29.016667,151.05
151163,au,attadale,Attadale,08,,-32.023610999999995,115.795833
151164,au,attunga,Attunga,02,,-30.930281,150.846802
151165,au,aubigney,Aubigney,04,,-27.516667,151.65
151166,au,aubigny,Aubigny,04,,-27.516667,151.65
151167,au,aubrey,Aubrey,07,,-36.233333,142.23333300000002
151168,au,auburn,Auburn,02,,-33.85,151.033333
151169,au,auburn,Auburn,05,,-34.026909,138.685211
151170,au,auburn,Auburn,07,,-37.816667,145.05
151171,au,auburn south,Auburn South,07,,-37.833333,145.05
151172,au,auburn vale,Auburn Vale,02,,-29.833333000000003,151.033333
151173,au,augathella,Augathella,04,,-25.796249,146.584518
151174,au,augusta,Augusta,08,,-34.315659000000004,115.159218
151175,au,augusta-margaret river shire,Augusta-Margaret River Shire,02,,-34.0,115.166667
151176,au,auld,Auld,05,,-34.883333,140.35
151177,au,aura,Aura,07,,-37.933333000000005,145.416667
151178,au,austinmer,Austinmer,02,,-34.3,150.916667
151179,au,austins ferry,Austins Ferry,06,,-42.766667,147.25
151180,au,austral eden,Austral Eden,02,,-31.033333,152.916667
151181,au,australian capital territory,Australian Capital Territory,01,,-35.5,149.0
151182,au,australia plains,Australia Plains,05,,-34.1,139.133333
151183,au,australind,Australind,08,6621.0,-33.279202000000005,115.715042
151184,au,avalon,Avalon,02,,-33.633333,151.333333
151185,au,avenel,Avenel,02,,-33.416667,148.76666699999998
151186,au,avenel,Avenel,07,,-36.900879,145.233673
151187,au,avenue,Avenue,05,,-36.966667,140.23333300000002
151188,au,avenue range,Avenue Range,05,,-36.966667,140.23333300000002
151189,au,avisford,Avisford,02,,-32.75,149.48333300000002
151190,au,avoca,Avoca,07,,-37.090439,143.473648
151191,au,avoca beach,Avoca Beach,02,,-33.468182,151.433899
151192,au,avon,Avon,05,,-34.283333,138.333333
151193,au,avondale,Avondale,02,,-33.068089,151.465256
151194,au,avondale,Avondale,04,,-24.733333,152.166667
151195,au,avon dam,Avon Dam,02,,-34.35,150.633333
151196,au,avonmore,Avonmore,07,,-36.533333,144.566667
151197,au,avon plains,Avon Plains,07,,-36.55,142.933333
151198,au,avonsleigh,Avonsleigh,07,,-37.933333000000005,145.466667
151199,au,awaba,Awaba,02,,-33.008209,151.550964
151200,au,awonga,Awonga,07,,-36.95,141.383333
151201,au,axedale,Axedale,07,,-36.8,144.51666699999998
151202,au,aylmerton,Aylmerton,02,,-34.416667,150.51666699999998
151203,au,ayr,Ayr,04,9079.0,-19.573931,147.406662
151204,au,ayton,Ayton,04,,-15.933333,145.366667
151205,au,baan baa,Baan Baa,02,,-30.6,149.933333
151206,au,baandee,Baandee,08,,-31.583333000000003,117.966667
151207,au,baarmutha,Baarmutha,07,,-36.416667,146.683333
151208,au,babakin,Babakin,08,,-32.116667,118.016667
151209,au,babinda,Babinda,04,,-17.343901000000002,145.922653
151210,au,bacchus marsh,Bacchus Marsh,07,,-37.675709000000005,144.436554
151211,au,back creek,Back Creek,06,,-41.033333,147.1
151212,au,back creek,Back Creek,07,,-36.366667,146.85
151213,au,backmede,Backmede,02,,-28.75,153.01666699999998
151214,au,backnede,Backnede,02,,-28.75,153.01666699999998
151215,au,back plains,Back Plains,04,,-27.9,151.783333
151216,au,backwater,Backwater,02,,-30.066667,151.883333
151217,au,baddaginnie,Baddaginnie,07,,-36.583333,145.866667
151218,au,baddera,Baddera,08,,-28.283333,114.633333
151219,au,baddow,Baddow,04,,-25.516667,152.683333
151220,au,baden,Baden,06,,-42.433333000000005,147.466667
151221,au,badgebup,Badgebup,08,,-33.633333,117.9
151222,au,badgen,Badgen,04,,-27.483333,153.23333300000002
151223,au,badger creek,Badger Creek,07,,-37.7,145.51666699999998
151224,au,badgers creek,Badgers Creek,07,,-37.7,145.51666699999998
151225,au,badjaling,Badjaling,08,,-32.0,117.5
151226,au,badjerribong,Badjerribong,02,,-33.35,147.7
151227,au,badu,Badu,04,,-10.15,142.166667
151228,au,baerami,Baerami,02,,-32.4,150.48333300000002
151229,au,baerami creek,Baerami Creek,02,,-32.5,150.466667
151230,au,baffle creek,Baffle Creek,04,,-24.5,151.933333
151231,au,bagdad,Bagdad,06,,-42.629681,147.223389
151232,au,bagnoo,Bagnoo,02,,-31.466667,152.533333
151233,au,bago,Bago,02,,-35.566666999999995,147.966667
151234,au,bagot,Bagot,03,,-12.416667,130.85
151235,au,bagotville,Bagotville,02,,-28.983333,153.416667
151236,au,bagshot,Bagshot,07,,-36.65,144.416667
151237,au,bahgallah,Bahgallah,07,,-37.633333,141.383333
151238,au,bahrs scrub,Bahrs Scrub,04,,-27.733333,153.166667
151239,au,bailieston,Bailieston,07,,-36.733333,145.05
151240,au,bailieston east,Bailieston East,07,,-36.75,145.116667
151241,au,bairnsdale,Bairnsdale,07,11006.0,-37.822891,147.610413
151242,au,bairsdale,Bairsdale,07,,-37.822891,147.610413
151243,au,bajool,Bajool,04,,-23.666667,150.65
151244,au,bakara,Bakara,05,,-34.666667,139.76666699999998
151245,au,baker,Baker,07,,-36.083333,141.583333
151246,au,baker gully,Baker Gully,05,,-35.133333,138.633333
151247,au,bakers creek,Bakers Creek,02,,-30.266667,151.01666699999998
151248,au,bakers creek,Bakers Creek,04,,-21.2199,149.146805
151249,au,bakers gully,Bakers Gully,05,,-35.133333,138.633333
151250,au,bakers hill,Bakers Hill,08,,-31.75,116.45
151251,au,bakers swamp,Bakers Swamp,02,,-32.766667,148.933333
151252,au,baking board,Baking Board,04,,-26.716667,150.55
151253,au,baking board siding,Baking Board Siding,04,,-26.716667,150.55
151254,au,balaclava,Balaclava,07,,-37.866667,145.0
151255,au,baladjie,Baladjie,08,,-30.983333,118.933333
151256,au,balaklava,Balaklava,05,,-34.14542,138.411484
151257,au,balbarrup,Balbarrup,08,,-34.233333,116.2
151258,au,balberra,Balberra,04,,-21.3,149.116667
151259,au,balcombe,Balcombe,07,,-38.257778,145.029167
151260,au,baldersleigh,Baldersleigh,02,,-30.266667,151.433333
151261,au,bald hill,Bald Hill,02,,-34.433333000000005,146.833333
151262,au,bald hills,Bald Hills,02,,-36.7,149.1
151263,au,bald hills,Bald Hills,05,,-35.516667,138.416667
151264,au,bald hills,Bald Hills,07,,-37.433333000000005,143.85
151265,au,bald mountain,Bald Mountain,04,,-28.9,151.916667
151266,au,bald rock,Bald Rock,07,,-36.033333,144.216667
151267,au,baldry,Baldry,02,,-32.866667,148.5
151268,au,baldwin,Baldwin,02,,-30.816667,150.6
151269,au,balfes creek,Balfes Creek,04,,-20.216667,145.916667
151270,au,balfour,Balfour,06,,-41.266667,144.916667
151271,au,balgal beach,Balgal Beach,04,,-19.01634,146.40829499999998
151272,au,balgarri,Balgarri,08,,-30.483333,121.116667
151273,au,balgo,Balgo,08,,-20.15,127.966667
151274,au,balgo hill,Balgo Hill,08,,-20.15,127.966667
151275,au,balgowan,Balgowan,05,,-34.333333,137.48333300000002
151276,au,balgowlah,Balgowlah,02,,-33.8,151.26666699999998
151277,au,balgowlah heights,Balgowlah Heights,02,,-33.805556,151.259167
151278,au,balgownie,Balgownie,02,,-34.4,150.9
151279,au,balhannah,Balhannah,05,,-34.99094,138.82565300000002
151280,au,balingup,Balingup,08,,-33.8,115.966667
151281,au,balkuling,Balkuling,08,,-31.983333,117.133333
151282,au,ballaarat,Ballaarat,07,,-37.56266,143.862579
151283,au,balladoran,Balladoran,02,,-31.866667,148.666667
151284,au,ballam park,Ballam Park,07,,-38.15,145.15
151285,au,ballan,Ballan,07,,-37.599869,144.228897
151286,au,ballandean,Ballandean,04,,-28.8,151.833333
151287,au,ballangeich,Ballangeich,07,,-38.216667,142.666667
151288,au,ballangeich north,Ballangeich North,07,,-38.183333000000005,142.683333
151289,au,ballapur,Ballapur,07,,-35.966667,142.76666699999998
151290,au,ballarat,Ballarat,07,85110.0,-37.56266,143.862579
151291,au,ballarat east,Ballarat East,07,,-37.566667,143.866667
151292,au,ballarat north,Ballarat North,07,,-37.533333,143.866667
151293,au,ballaying,Ballaying,08,,-33.3,117.55
151294,au,balldale,Balldale,02,,-35.85,146.51666699999998
151295,au,ballendella,Ballendella,07,,-36.3,144.65
151296,au,ballengarra,Ballengarra,02,,-31.316667,152.75
151297,au,balliang,Balliang,07,,-37.833333,144.366667
151298,au,balliang east,Balliang East,07,,-37.783333,144.45
151299,au,ballidu,Ballidu,08,,-30.6,116.766667
151300,au,ballimore,Ballimore,02,,-32.2,148.9
151301,au,ballina,Ballina,02,14248.0,-28.864140000000003,153.56541399999998
151302,au,bally bally,Bally Bally,08,,-32.166667,117.1
151303,au,bally park,Bally Park,06,,-42.866667,147.616667
151304,au,ballyrogan,Ballyrogan,07,,-37.433333000000005,143.133333
151305,au,balmain,Balmain,02,,-33.866667,151.183333
151306,au,balmattum,Balmattum,07,,-36.7,145.65
151307,au,balmattum east,Balmattum East,07,,-36.716667,145.65
151308,au,balmoral,Balmoral,02,,-33.066666999999995,151.583333
151309,au,balmoral,Balmoral,07,,-37.25,141.85
151310,au,balmoral park,Balmoral Park,02,,-33.830833,151.255
151311,au,balnarring,Balnarring,07,,-38.366667,145.133333
151312,au,balnarring beach,Balnarring Beach,07,,-38.4,145.116667
151313,au,balonne shire,Balonne Shire,04,,-28.333333000000003,148.166667
151314,au,balook,Balook,07,,-38.433333000000005,146.566667
151315,au,balranald,Balranald,02,,-34.6394,143.563324
151316,au,balrootan north,Balrootan North,07,,-36.3,141.716667
151317,au,balwyn,Balwyn,07,,-37.816667,145.066667
151318,au,balwyn north,Balwyn North,07,,-37.8,145.066667
151319,au,balwyn west,Balwyn West,07,,-37.816667,145.066667
151320,au,bamaga,Bamaga,04,,-10.89323,142.386047
151321,au,bamarong,Bamarong,02,,-34.9,150.533333
151322,au,bamawm,Bamawm,07,,-36.216667,144.6
151323,au,bamawm extension,Bamawm Extension,07,,-36.216667,144.6
151324,au,bambaroo,Bambaroo,04,,-18.866667,146.2
151325,au,bamboo,Bamboo,08,,-20.933333,120.216667
151326,au,bamboo creek,Bamboo Creek,08,,-20.933333,120.216667
151327,au,bamboo mining centre,Bamboo Mining Centre,08,,-20.933333,120.216667
151328,au,bambra,Bambra,07,,-38.366667,143.933333
151329,au,bamford,Bamford,04,,-17.316667000000002,144.916667
151330,au,bamganie,Bamganie,07,,-37.933333000000005,143.98333300000002
151331,au,bamyili,Bamyili,03,,-14.51956,132.864365
151332,au,banana,Banana,04,,-24.483333,150.133333
151333,au,banana pocket,Banana Pocket,04,,-20.533333,148.65
151334,au,banbrae park,Banbrae Park,07,,-37.816667,144.583333
151335,au,bancroft,Bancroft,04,,-24.783333,151.23333300000002
151336,au,bandiana,Bandiana,07,,-36.15,146.933333
151337,au,bandon,Bandon,02,,-33.5,148.3
151338,au,bangalow,Bangalow,02,,-28.68675,153.523926
